gene_symbol,log2FoldChange,pvalue
Rrp12,-0.038209163,0.99999707
Mir7063,0.002248738,0.99999707
Adgre5,0.052955601,0.99999707
Mogs,0.112482961,0.975678505
Amz2,0.060602209,0.99999707
Cwc22,-0.067669409,0.99999707
Gm45120,-0.077116017,0.99999707
Mir296,-0.017985478,0.99999707
Srcin1,-0.043109627,0.99999707
Gm20535,0.0936805,0.99999707
Sdccag3,-0.058580332,0.99999707
AI413582,-0.101652796,0.99999707
2900076A07Rik,-0.010685712,0.99999707
Vps8,0.107880652,0.99999707
Rpl13-ps1,0.000319134,0.99999707
Gpaa1,-0.088278707,0.99999707
Rpp25,0.10645294,0.99999707
Lamp2,-0.041600119,0.99999707
Gm7901,-0.006281004,0.99999707
Dnajc1,0.052900434,0.99999707
Pml,0.016389499,0.99999707
C730034F03Rik,-0.108199102,0.99999707
Gm16349,-0.050602779,0.99999707
Gm7613,0.038796678,0.99999707
Ighv4-1,-0.005319412,0.99999707
Lsm10,-0.056613893,0.99999707
Zfp827,-0.001462263,0.99999707
Cebpd,-0.019908621,0.99999707
Igf2bp2,-0.006378249,0.99999707
Taf4b,-0.055670667,0.99999707
Gm43747,0.057765575,0.99999707
Gm2308,-0.049101707,0.99999707
Gm24860,0.073749594,0.99999707
Mphosph6,0.006772626,0.99999707
Klhl12,-0.067043947,0.99999707
Gm16304,-0.100775029,0.820486301
Hepacam2,0.204912189,0.28262953
Gpr34,-0.021689351,0.99999707
Gm44168,-0.068706503,0.99999707
Gm8606,0.021687366,0.99999707
Gm7565,0.021525649,0.99999707
Cyp4f16,0.044411561,0.99999707
Spata9,0.024532708,0.99999707
Ntn4,-0.04668406,0.99999707
Ctc1,-0.235730446,0.172439435
Eaf1,0.035969798,0.99999707
Gm15779,-0.046346909,0.99999707
Gm16386,-0.047072346,0.99999707
C030018K13Rik,-0.051897331,0.99999707
Gm26690,0.031604714,0.99999707
Gm23553,0.193380117,0.437166884
Mxra8,-0.076395071,0.99999707
Gm5687,-0.026050303,0.99999707
Polg,-0.035171437,0.99999707
E430021H15Rik,-0.100535025,0.99999707
Gm26692,-0.02339534,0.99999707
Calr-ps,0.012786079,0.99999707
Gm38380,-0.010838668,0.99999707
Trappc6b,0.046309639,0.99999707
4933412A08Rik,0.044647435,0.99999707
Gm10840,0.019253387,0.99999707
Mir30c-1,0.025546551,0.99999707
Gm26624,0.036138123,0.99999707
Gm26944,0.01403096,0.99999707
Wfikkn1,-0.019456541,0.99999707
Gm42462,-0.020920295,0.99999707
Mib1,0.063107509,0.99999707
Gm8276,0.010994907,0.99999707
Cdc37l1,0.038290358,0.99999707
Sowaha,-0.00244758,0.99999707
Csf1r,-0.000933434,0.99999707
Gm44699,-0.010804278,0.99999707
RP23-131H17.1,-0.376059507,0.004762555
Trappc11,0.10470597,0.99999707
Ube2l6,-0.007585524,0.99999707
Stpg4,0.114912186,0.99999707
Khdc3,-0.029771587,0.99999707
Hacl1,-0.359319125,0.002850817
Gm5593,-0.015664709,0.99999707
Gm6525,0.009594552,0.99999707
Zpr1,0.082954354,0.99999707
Gm43173,-0.002724012,0.99999707
Degs1,-0.037168828,0.99999707
Nhp2l1,-0.098291745,0.878011207
Dcaf12,-0.08365349,0.99999707
Hspa9-ps1,-0.29423677,0.059540854
Gm5944,0.021698696,0.99999707
Nnt,-0.037432815,0.99999707
Mybpc1,-0.00447845,0.99999707
Gm42436,-0.037584347,0.99999707
Chmp3,0.126628299,0.852525694
Epor,-0.435066854,0.000000113
Gm19503,0.281800435,0.063854696
Arpc4,-0.136660526,0.874967516
Gm12522,0.019727494,0.99999707
Bub3,0.039245982,0.99999707
Zcchc2,-0.013984232,0.99999707
Fbxo38,0.01584143,0.99999707
Rnase12,0.028271043,0.99999707
Zbp1,0.035855103,0.99999707
Snx24,0.523625034,0.00000121
Tcp1-ps1,-0.057979188,0.99999707
Ptpn21,-0.027391879,0.99999707
Rps19-ps14,-0.028649518,0.99999707
Mir155hg,-0.031671287,0.99999707
